Customer_id,Date_disb,pay_type,area_code,pin_code,state,dealer,product_code,tenure,roi,emi,proc_fee,asset_cost,loan_amt,gender,qualification,employ_type,resid_type,age,cibil_score,net_salary,net_irr,fraud
887,12/19/2019,ADM,3047,132114,HA,ASC,SC,0.352941176,0.258525231,0.160714286,0.600206392,75872,64177,M,OTHERS,SAL,O,0.428571429,,-0.493889714,0.572822076,0
888,06-12-2019,ACH,3047,135001,HA,ASC,MC,0.352941176,-0.257455482,0.117053104,-0.874573986,67350,56448,M,SSC,SAL,O,0.12244898,,-0.594206452,-0.322628653,0
889,06-12-2019,ADM,3034,209801,UP,ASC,SC,0.352941176,-1.468025618,0.145568437,0.472482918,81500,65602,F,PG,SEP,O,0.142857143,,-0.24309787,-1.31148971,0
890,11-12-2019,ACH,3047,125113,HA,ASC,SC,0.352941176,-1.468025618,0.119203441,0.211075542,72106,59838,F,HSC,SEP,O,0.387755102,,-0.343414608,-1.301826572,1
891,12-12-2019,ACH,3091,175125,HP,ASC,SC,0.666666667,0.695124296,0.091529544,-1.138535832,79678,66500,F,HSC,AGR,O,0.530612245,,-0.343414608,-0.161576364,0
892,12/18/2019,DRE,3047,125075,HA,ASC,MC,0.431372549,2.044612316,0.129674645,0.021193311,67300,53999,M,OTHERS,SAL,O,0.795918367,,-0.69452319,2.660059746,0
893,12/27/2019,ADM,3091,177034,HP,ASC,MC,0.352941176,0.298216055,0.098635004,-1.138535832,63315,51450,M,HSC,SEP,O,0.12244898,,-0.343414608,-0.242102508,0
894,04-12-2019,ACH,3047,132103,HA,DEALER,MC,0.588235294,-1.150499025,0.182591623,1.594746508,120376,101000,M,OTHERS,SAL,O,0.12244898,1.284140677,-0.042464394,-1.230963565,0
895,04-12-2019,ADM,3047,132103,HA,DEALER,SC,0.588235294,0.43713394,0.058994016,0.232362787,69365,58500,M,OTHERS,SAL,O,0.530612245,-0.881305369,-0.443731345,0.273264818,0
896,03-12-2019,ADM,3047,123303,HA,ASC,MC,0.666666667,-1.210035261,0.141454749,1.169001596,110000,88999,M,UG,AGR,O,0.489795918,-0.728450354,0.659752771,-1.247068794,0
897,03-12-2019,ADM,3047,124001,HA,DEALER,SC,0.352941176,0.040225698,0.147438295,0.500582082,73678,62000,M,OTHERS,SAL,O,0.693877551,-1.008684548,-0.343414608,0.266822726,0
898,05-12-2019,ADM,3047,132103,HA,DEALER,SC,0.588235294,-1.031426553,0.046559461,0.232362787,72069,59817,M,OTHERS,SAL,O,0.163265306,,-0.24309787,-1.243847748,0
899,11-12-2019,ADM,3047,123501,HA,ASC,SC,0.235294118,-1.749830469,0.165575916,0.113154212,68300,55032,M,PG,SAL,O,0.591836735,-0.499167832,0.408960927,-1.118226962,0
900,12/17/2019,ADM,3047,136027,HA,DEALER,SC,0.352941176,-1.352922228,0.130422588,0.280046218,76259,62000,M,OTHERS,SEP,O,0.12244898,,-0.594206452,-1.163321603,0
901,09-12-2019,ACH,3047,123401,HA,DEALER,SC,0.352941176,0.595897236,0.189977562,0.589988514,83300,69188,M,SSC,SEP,O,0.571428571,0.77462396,1.161336461,0.749979594,0
902,10-12-2019,ADM,3091,175034,HP,ASC,SC,0.588235294,0.63558806,0.047961855,-0.874573986,67807,54900,F,HSC,SAL,O,0.714285714,,0.158169082,-0.048839761,0
903,12/17/2019,ADM,3047,136027,HA,DEALER,MC,0.235294118,-2.14673871,0.166884817,0.202560644,68474,56000,M,OTHERS,SEP,O,0.387755102,0.265107244,-0.594206452,-1.176205787,0
904,09-12-2019,ADM,3047,123401,HA,DEALER,SC,0.352941176,0.595897236,0.134442782,0.215332991,68300,58032,M,PG,SEP,O,0.591836735,,1.161336461,0.795074235,0
905,12/16/2019,ACH,3047,123401,HA,DEALER,SC,0.588235294,1.230950422,0.066192969,0.189788296,68300,58016,M,PG,SEP,O,0.204081633,,1.161336461,1.355536202,0
906,12/28/2019,ACH,3091,160014,CH,DEALER,SC,0.411764706,0.43713394,0.130983545,0.6581077,67807,57700,M,HSC,SEP,R,0.142857143,,-0.092622763,1.110736722,0
907,12/19/2019,ADM,3047,126102,HA,ASC,SC,0.666666667,0.754660533,0.070774121,0.341353485,72106,60700,M,OTHERS,SEP,O,0.387755102,,-0.493889714,0.69200077,0
908,12/17/2019,ADM,3047,136027,HA,DEALER,MC,0.352941176,0.040225698,0.152299925,0.486106755,73750,63000,M,OTHERS,SEP,O,0.387755102,-0.193457802,-0.594206452,0.476190702,0
909,12/16/2019,ACH,3047,136118,HA,DEALER,MC,0.666666667,0.139452759,0.043848168,-1.249229509,67300,55248,M,PG,SEP,O,0.551020408,-0.269885309,0.408960927,-0.345175973,1
910,12/19/2019,ADM,3047,127021,HA,DEALER,SC,0.352941176,0.238679819,0.129674645,0.402660753,69300,57900,F,OTHERS,SEP,O,0.469387755,,0.158169082,0.585706259,0
911,12/31/2019,ADM,3047,136117,HA,DEALER,MC,0.490196078,-1.368798558,0.094334331,0.260461952,67000,54184,M,SSC,SEP,O,0.306122449,,-0.544048083,-0.499786171,0
912,12/21/2019,ACH,3047,127040,HA,ASC,MC,0.352941176,0.43713394,0.124719521,0.274937279,67300,56447,M,UG,AGR,O,0.163265306,,0.408960927,0.601811488,0
913,12/26/2019,ADM,3047,124146,HA,ASC,SC,0.352941176,0.43713394,0.132946896,0.232362787,68000,58100,M,UG,SAL,O,0.183673469,0.341534751,0.910544616,0.598590442,0
